owner,repo,contributor,commits,repo_contributor_count
tidyverse,forcats,VincentGuyader,1,43
tidyverse,forcats,yutannihilation,1,43
tidyverse,ggplot2,hadley,2546,227
tidyverse,ggplot2,wch,654,227
tidyverse,ggplot2,kohske,232,227
tidyverse,ggplot2,thomasp85,154,227
tidyverse,ggplot2,clauswilke,69,227
tidyverse,ggplot2,jiho,63,227
tidyverse,ggplot2,yutannihilation,62,227
tidyverse,ggplot2,lionel-,57,227
tidyverse,ggplot2,paleolimbot,50,227
tidyverse,ggplot2,karawoo,48,227
tidyverse,ggplot2,BrianDiggs,28,227
tidyverse,ggplot2,batpigandme,21,227
tidyverse,ggplot2,JakeRuss,20,227
tidyverse,ggplot2,joranE,17,227
tidyverse,ggplot2,hrbrmstr,16,227
tidyverse,ggplot2,JoFrhwld,14,227
tidyverse,ggplot2,DanRuderman,13,227
tidyverse,ggplot2,jimhester,11,227
tidyverse,ggplot2,has2k1,10,227
tidyverse,ggplot2,dpseidel,7,227
tidyverse,ggplot2,topepo,7,227
tidyverse,ggplot2,jrnold,7,227
tidyverse,ggplot2,richierocks,7,227
tidyverse,ggplot2,krlmlr,5,227
tidyverse,ggplot2,noamross,5,227
tidyverse,ggplot2,pkq,5,227
tidyverse,ggplot2,tmshn,5,227
tidyverse,ggplot2,tdhock,5,227
tidyverse,ggplot2,foo-bar-baz-qux,5,227
tidyverse,ggplot2,baptiste,5,227
tidyverse,ggplot2,tonytonov,4,227
tidyverse,ggplot2,davidmorrison,4,227
tidyverse,ggplot2,djmurphy420,4,227
tidyverse,ggplot2,wligtenberg,4,227
tidyverse,ggplot2,bfgray3,4,227
tidyverse,ggplot2,mine-cetinkaya-rundel,4,227
tidyverse,ggplot2,schloerke,3,227
tidyverse,ggplot2,edzer,3,227
tidyverse,ggplot2,gregrs-uk,3,227
tidyverse,ggplot2,jankatins,3,227
tidyverse,ggplot2,jdagilliland,3,227
tidyverse,ggplot2,Katiedaisey,3,227
tidyverse,ggplot2,goyalmunish,3,227
tidyverse,ggplot2,seaaan,3,227
tidyverse,ggplot2,setempler,3,227
tidyverse,ggplot2,markpayneatwork,3,227
tidyverse,ggplot2,microly,3,227
tidyverse,ggplot2,veraanadi,3,227
tidyverse,ggplot2,dkahle,3,227
tidyverse,ggplot2,Ahobert,2,227
tidyverse,ggplot2,annennenne,2,227
tidyverse,ggplot2,AnneLyng,2,227
tidyverse,ggplot2,bjreisman,2,227
tidyverse,ggplot2,cpsievert,2,227
tidyverse,ggplot2,carywreams,2,227
tidyverse,ggplot2,CateGitau,2,227
tidyverse,ggplot2,infotroph,2,227
tidyverse,ggplot2,connorlewis,2,227
tidyverse,ggplot2,Maschette,2,227
tidyverse,ggplot2,daniel-barnett,2,227
tidyverse,ggplot2,davharris,2,227
tidyverse,ggplot2,daattali,2,227
tidyverse,ggplot2,delferts,2,227
tidyverse,ggplot2,dylan-stark,2,227
tidyverse,ggplot2,alistaire47,2,227
tidyverse,ggplot2,ikosmidis,2,227
tidyverse,ggplot2,jonocarroll,2,227
tidyverse,ggplot2,Elesday,2,227
tidyverse,ggplot2,slowkow,2,227
tidyverse,ggplot2,kevinushey,2,227
tidyverse,ggplot2,lwjohnst86,2,227
tidyverse,ggplot2,malcolmbarrett,2,227
tidyverse,ggplot2,mrtns,2,227
tidyverse,ggplot2,mvkorpel,2,227
tidyverse,ggplot2,seancarmody,2,227
tidyverse,ggplot2,steveharoz,2,227
tidyverse,ggplot2,wibeasley,2,227
tidyverse,ggplot2,dongzhuoer,2,227
tidyverse,ggplot2,bbolker,2,227
tidyverse,ggplot2,bbrewington,2,227
tidyverse,ggplot2,eliocamp,2,227
tidyverse,ggplot2,katrinleinweber,2,227
tidyverse,ggplot2,mitchelloharawild,2,227
tidyverse,ggplot2,tjmahr,2,227
tidyverse,ggplot2,coolbutuseless,2,227
tidyverse,ggplot2,lindbrook,2,227
tidyverse,ggplot2,ajschumacher,1,227
tidyverse,ggplot2,yeedle,1,227
tidyverse,ggplot2,jabranham,1,227
tidyverse,ggplot2,truemoid,1,227
tidyverse,ggplot2,AliciaSchep,1,227
tidyverse,ggplot2,amysheep,1,227
tidyverse,ggplot2,andrewdolman,1,227
tidyverse,ggplot2,econandrew,1,227
tidyverse,ggplot2,angelica93,1,227
tidyverse,ggplot2,idno0001,1,227
tidyverse,ggplot2,pierucci,1,227
tidyverse,ggplot2,alamstein-trulia,1,227
tidyverse,ggplot2,BernhardKonrad,1,227
tidyverse,ggplot2,bwiernik,1,227
tidyverse,ggplot2,briandk,1,227
tidyverse,ggplot2,brianwdavis,1,227
tidyverse,ggplot2,brodieG,1,227
tidyverse,ggplot2,cwickham,1,227
tidyverse,ggplot2,ismayc,1,227
tidyverse,ggplot2,cderv,1,227
tidyverse,ggplot2,croach,1,227
tidyverse,ggplot2,codetrainee,1,227
tidyverse,ggplot2,clairemcwhite,1,227
tidyverse,ggplot2,dgromer,1,227
tidyverse,ggplot2,mastropi,1,227
tidyverse,ggplot2,daniel-wells,1,227
tidyverse,ggplot2,djnavarro,1,227
tidyverse,ggplot2,DanielleQuinn,1,227
tidyverse,ggplot2,dariobuttari,1,227
tidyverse,ggplot2,dariyasydykova,1,227
tidyverse,ggplot2,dvcv,1,227
tidyverse,ggplot2,davidkretch,1,227
tidyverse,ggplot2,Eli-Berkow,1,227
tidyverse,ggplot2,Symaxion,1,227
tidyverse,ggplot2,erocoar,1,227
tidyverse,ggplot2,gfiumara,1,227
tidyverse,ggplot2,gregmacfarlane,1,227
tidyverse,ggplot2,GuangchuangYu,1,227
tidyverse,ggplot2,gokceneraslan,1,227
tidyverse,ggplot2,haleyjeppson,1,227
tidyverse,ggplot2,hlendway,1,227
tidyverse,ggplot2,hbuschme,1,227
tidyverse,ggplot2,Henrik-P,1,227
tidyverse,ggplot2,salmasian,1,227
tidyverse,ggplot2,HughParsonage,1,227
tidyverse,ggplot2,Bisaloo,1,227
tidyverse,ggplot2,izahn,1,227
tidyverse,ggplot2,JamesCuster,1,227
tidyverse,ggplot2,jennybc,1,227
tidyverse,ggplot2,jeroen,1,227
tidyverse,ggplot2,botanize,1,227
tidyverse,ggplot2,jschoeley,1,227
tidyverse,ggplot2,jonathan-g,1,227
tidyverse,ggplot2,jsta,1,227
tidyverse,ggplot2,caijun,1,227
tidyverse,ggplot2,jentjr,1,227
tidyverse,ggplot2,kbroman,1,227
tidyverse,ggplot2,huftis,1,227
tidyverse,ggplot2,kloesing,1,227
tidyverse,ggplot2,wendtke,1,227
tidyverse,ggplot2,kbodwin,1,227
tidyverse,ggplot2,kelseymoty,1,227
tidyverse,ggplot2,darrkj,1,227
tidyverse,ggplot2,kent37,1,227
tidyverse,ggplot2,kferris10,1,227
tidyverse,ggplot2,lselzer,1,227
tidyverse,ggplot2,jemus42,1,227
tidyverse,ggplot2,mcguinlu,1,227
tidyverse,ggplot2,MaraAlexeev,1,227
tidyverse,ggplot2,mcol,1,227
tidyverse,ggplot2,tereom,1,227
tidyverse,ggplot2,martin-martin,1,227
tidyverse,ggplot2,mruessler,1,227
tidyverse,ggplot2,mattsteadman,1,227
tidyverse,ggplot2,mbergins,1,227
tidyverse,ggplot2,mpancia,1,227
tidyverse,ggplot2,mnazarov,1,227
tidyverse,ggplot2,MeganBeckett,1,227
tidyverse,ggplot2,melimore86,1,227
tidyverse,ggplot2,mnbram,1,227
tidyverse,ggplot2,mikmart,1,227
tidyverse,ggplot2,nteetor,1,227
tidyverse,ggplot2,njtierney,1,227
tidyverse,ggplot2,nicksolomon,1,227
tidyverse,ggplot2,NikNakk,1,227
tidyverse,ggplot2,joey711,1,227
tidyverse,ggplot2,pmur002,1,227
tidyverse,ggplot2,ppanko,1,227
tidyverse,ggplot2,perezp44,1,227
tidyverse,ggplot2,PeteHaitch,1,227
tidyverse,ggplot2,crowding,1,227
tidyverse,ggplot2,flying-sheep,1,227
tidyverse,ggplot2,Tutuchan,1,227
tidyverse,ggplot2,pridiltal,1,227
tidyverse,ggplot2,rasmusab,1,227
tidyverse,ggplot2,RichardJActon,1,227
tidyverse,ggplot2,Smudgerville,1,227
tidyverse,ggplot2,rsaporta,1,227
tidyverse,ggplot2,robertzk,1,227
tidyverse,ggplot2,DarwinAwardWinner,1,227
tidyverse,ggplot2,rcurtin,1,227
tidyverse,ggplot2,Ryo-N7,1,227
tidyverse,ggplot2,808sAndBR,1,227
tidyverse,ggplot2,sebkopf,1,227
tidyverse,ggplot2,restonslacker,1,227
tidyverse,ggplot2,Shelmith-Kariuki,1,227
tidyverse,ggplot2,smsaladi,1,227
tidyverse,ggplot2,sinarueeger,1,227
tidyverse,ggplot2,Songeo,1,227
tidyverse,ggplot2,StefanBRas,1,227
tidyverse,ggplot2,lianos,1,227
tidyverse,ggplot2,stragu,1,227
tidyverse,ggplot2,sushmitavgopalan16,1,227
tidyverse,ggplot2,sowla,1,227
tidyverse,ggplot2,talgalili,1,227
tidyverse,ggplot2,teunbrand,1,227
tidyverse,ggplot2,Thell,1,227
tidyverse,ggplot2,Thieffen,1,227
tidyverse,ggplot2,thiyangt,1,227
tidyverse,ggplot2,tgs,1,227
tidyverse,ggplot2,tklebel,1,227
tidyverse,ggplot2,durtal,1,227
tidyverse,ggplot2,tdmcarthur,1,227
tidyverse,ggplot2,violetr,1,227
tidyverse,ggplot2,Ax3man,1,227
tidyverse,ggplot2,yihui,1,227
tidyverse,ggplot2,burchill,1,227
tidyverse,ggplot2,andrasberczi,1,227
tidyverse,ggplot2,arilamstein,1,227
tidyverse,ggplot2,atusy,1,227
tidyverse,ggplot2,beckymaust,1,227
tidyverse,ggplot2,buyske,1,227
tidyverse,ggplot2,evanhaldane,1,227
tidyverse,ggplot2,heckendorfc,1,227
tidyverse,ggplot2,lehy,1,227
tidyverse,ggplot2,metanoid,1,227
tidyverse,ggplot2,pank,1,227
tidyverse,ggplot2,pbiecek,1,227
tidyverse,ggplot2,stefanedwards,1,227
tidyverse,ggplot2,timgoodman,1,227
tidyverse,ggplot2,tomschloss,1,227
tidyverse,glue,jimhester,267,28
tidyverse,glue,jennybc,11,28
tidyverse,glue,batpigandme,4,28
tidyverse,glue,foundinblank,4,28
tidyverse,glue,egnha,3,28
tidyverse,glue,mgirlich,3,28
tidyverse,glue,krlmlr,2,28
tidyverse,glue,alandipert,1,28
tidyverse,glue,md0u80c9,1,28
tidyverse,glue,cdhowe,1,28
tidyverse,glue,dpprdan,1,28
tidyverse,glue,alistaire47,1,28
tidyverse,glue,gaborcsardi,1,28
tidyverse,glue,ijlyttle,1,28
tidyverse,glue,kendonB,1,28
tidyverse,glue,lionel-,1,28
tidyverse,glue,maelle,1,28
tidyverse,glue,mine-cetinkaya-rundel,1,28
tidyverse,glue,mitchelloharawild,1,28
tidyverse,glue,salim-b,1,28
tidyverse,glue,Shelmith-Kariuki,1,28
tidyverse,glue,laderast,1,28
tidyverse,glue,tstev,1,28
tidyverse,glue,wibeasley,1,28
tidyverse,glue,baptiste,1,28
tidyverse,glue,landesbergn,1,28
tidyverse,glue,moodymudskipper,1,28
