owner,repo,cran_urls,primary_url,news_url
tidymodels,poissonreg,"https://github.com/tidymodels/poissonreg,
https://poissonreg.tidymodels.org/",https://poissonreg.tidymodels.org,https://poissonreg.tidymodels.org/news/index.html
tidymodels,plsmod,https://github.com/tidymodels/plsmod,https://plsmod.tidymodels.org,https://plsmod.tidymodels.org/news/index.html
topepo,rsample,"https://rsample.tidymodels.org,
https://github.com/tidymodels/rsample",https://rsample.tidymodels.org,https://rsample.tidymodels.org/news/index.html
topepo,rsample,"https://rsample.tidymodels.org,
https://github.com/tidymodels/rsample",https://rsample.tidymodels.org,https://rsample.tidymodels.org/news/index.html
r-lib,tzdb,https://github.com/r-lib/tzdb,https://r-lib.github.io/tzdb,https://r-lib.github.io/tzdb/news/index.html
jimhester,lintr,https://github.com/jimhester/lintr,https://github.com/jimhester/lintr,https://github.com/jimhester/lintr/blob/master/NEWS.md
hadley,plyr,"http://had.co.nz/plyr, https://github.com/hadley/plyr",https://github.com/hadley/plyr,https://github.com/hadley/plyr/blob/master/NEWS.md
r-lib,progress,https://github.com/r-lib/progress#readme,https://github.com/r-lib/progress,https://github.com/r-lib/progress/blob/master/NEWS.md
r-lib,cli,https://github.com/r-lib/cli#readme,https://github.com/r-lib/cli,https://github.com/r-lib/cli/blob/master/NEWS.md
r-dbi,odbc,"https://github.com/r-dbi/odbc, https://db.rstudio.com",https://github.com/r-dbi/odbc,https://github.com/r-dbi/odbc/blob/master/NEWS.md
r-lib,crayon,https://github.com/r-lib/crayon#readme,https://github.com/r-lib/crayon,https://github.com/r-lib/crayon/blob/master/NEWS.md
r-lib,zeallot,https://github.com/nteetor/zeallot,https://github.com/r-lib/zeallot,https://github.com/r-lib/zeallot/blob/master/NEWS.md
jennybc,gapminder,"https://github.com/jennybc/gapminder,
http://www.gapminder.org/data/,
https://doi.org/10.5281/zenodo.594018",https://github.com/jennybc/gapminder,https://github.com/jennybc/gapminder/blob/master/NEWS.md
hadley,reshape,http://had.co.nz/reshape,https://github.com/hadley/reshape,https://github.com/hadley/reshape/blob/master/NEWS.md
r-dbi,RMySQL,https://downloads.mariadb.org/connector-c/ (upstream),https://github.com/r-dbi/RMySQL,https://github.com/r-dbi/RMySQL/blob/master/NEWS.md
lionel-,ggstance,https://github.com/lionel-/ggstance,https://github.com/lionel-/ggstance,https://github.com/lionel-/ggstance/blob/master/NEWS.md
hadley,assertthat,"NA",https://github.com/hadley/assertthat,https://github.com/hadley/assertthat/blob/master/NEWS.md
r-lib,asciicast,"NA",https://github.com/r-lib/asciicast,https://github.com/r-lib/asciicast/blob/master/NEWS.md
r-lib,available,https://github.com/ropenscilabs/available,https://github.com/r-lib/available,https://github.com/r-lib/available/blob/master/NEWS.md
r-lib,debugme,https://github.com/r-lib/debugme#readme,https://github.com/r-lib/debugme,https://github.com/r-lib/debugme/blob/master/NEWS.md
hadley,lazyeval,"NA",https://github.com/hadley/lazyeval,https://github.com/hadley/lazyeval/blob/master/NEWS.md
r-lib,later,https://github.com/r-lib/later,https://github.com/r-lib/later,https://github.com/r-lib/later/blob/master/NEWS.md
hadley,babynames,https://github.com/hadley/babynames,https://github.com/hadley/babynames,https://github.com/hadley/babynames/blob/master/NEWS.md
jennybc,repurrrsive,https://github.com/jennybc/repurrrsive,https://github.com/jennybc/repurrrsive,https://github.com/jennybc/repurrrsive/blob/master/NEWS.md
r-lib,prettyunits,https://github.com/gaborcsardi/prettyunits,https://github.com/gaborcsardi/prettyunits,https://github.com/gaborcsardi/prettyunits/blob/master/NEWS.md
r-lib,gert,"https://docs.ropensci.org/gert/ (website),
https://github.com/r-lib/gert (devel), https://libgit2.org
(upstream)",https://github.com/r-lib/gert,https://github.com/r-lib/gert/blob/master/NEWS
hadley,purrrlyr,https://github.com/hadley/purrrlyr,https://github.com/hadley/purrrlyr,https://github.com/hadley/purrrlyr/blob/master/NEWS.md
r-lib,desc,https://github.com/r-lib/desc#readme,https://github.com/r-lib/desc,https://github.com/r-lib/desc/blob/master/NEWS.md
r-lib,coro,https://github.com/r-lib/coro,https://github.com/r-lib/coro,https://github.com/r-lib/coro/blob/master/NEWS.md
r-lib,evaluate,https://github.com/r-lib/evaluate,https://github.com/r-lib/evaluate,https://github.com/r-lib/evaluate/blob/master/NEWS.md
r-lib,rcmdcheck,https://github.com/r-lib/rcmdcheck#readme,https://github.com/r-lib/rcmdcheck,https://github.com/r-lib/rcmdcheck/blob/master/NEWS.md
gaborcsardi,secret,https://github.com/gaborcsardi/secret#readme,https://github.com/gaborcsardi/secret,https://github.com/gaborcsardi/secret/blob/master/NEWS.md
r-lib,prettycode,https://github.com/r-lib/prettycode#readme,https://github.com/r-lib/prettycode,https://github.com/r-lib/prettycode/blob/master/NEWS.md
r-lib,askpass,https://github.com/jeroen/askpass#readme,https://github.com/r-lib/askpass,https://github.com/r-lib/askpass/blob/master/NEWS
r-lib,commonmark,"http://github.com/jeroen/commonmark (devel)
https://github.github.com/gfm/ (spec)",https://github.com/r-lib/commonmark,https://github.com/r-lib/commonmark/blob/master/NEWS
r-lib,mockery,https://github.com/jfiksel/mockery,https://github.com/r-lib/mockery,https://github.com/r-lib/mockery/blob/master/NEWS.md
r-lib,systemfonts,https://github.com/r-lib/systemfonts,https://github.com/r-lib/systemfonts,https://github.com/r-lib/systemfonts/blob/master/NEWS.md
r-lib,zip,https://github.com/r-lib/zip#readme,https://github.com/r-lib/zip,https://github.com/r-lib/zip/blob/master/NEWS.md
r-lib,clisymbols,https://github.com/gaborcsardi/clisymbols,https://github.com/r-lib/clisymbols,https://github.com/r-lib/clisymbols/blob/master/NEWS.md
r-lib,cliapp,https://github.com/r-lib/cliapp#readme,https://github.com/r-lib/cliapp,https://github.com/r-lib/cliapp/blob/master/NEWS.md
r-lib,ps,https://github.com/r-lib/ps#readme,https://github.com/r-lib/ps,https://github.com/r-lib/ps/blob/master/NEWS.md
r-lib,credentials,"https://docs.ropensci.org/credentials (website)
https://github.com/r-lib/credentials",https://github.com/r-lib/credentials,https://github.com/r-lib/credentials/blob/master/NEWS
r-lib,sessioninfo,https://github.com/r-lib/sessioninfo#readme,https://github.com/r-lib/sessioninfo,https://github.com/r-lib/sessioninfo/blob/master/NEWS.md
r-lib,backports,https://github.com/r-lib/backports,https://github.com/r-lib/backports,https://github.com/r-lib/backports/blob/master/NEWS.md
r-lib,liteq,https://github.com/r-lib/liteq#readme,https://github.com/r-lib/liteq,https://github.com/r-lib/liteq/blob/master/NEWS.md
r-lib,pkgbuild,https://github.com/r-lib/pkgbuild,https://github.com/r-lib/pkgbuild,https://github.com/r-lib/pkgbuild/blob/master/NEWS.md
r-lib,pkgdepends,https://github.com/r-lib/pkgdepends#readme,https://github.com/r-lib/pkgdepends,https://github.com/r-lib/pkgdepends/blob/master/NEWS.md
r-lib,pkgload,https://github.com/r-lib/pkgload,https://github.com/r-lib/pkgload,https://github.com/r-lib/pkgload/blob/master/NEWS.md
r-lib,pkgconfig,https://github.com/r-lib/pkgconfig#readme,https://github.com/r-lib/pkgconfig,https://github.com/r-lib/pkgconfig/blob/master/inst/NEWS.markdown
r-lib,rematch2,https://github.com/r-lib/rematch2#readme,https://github.com/r-lib/rematch2,https://github.com/r-lib/rematch2/blob/master/NEWS.md
r-lib,carrier,https://github.com/r-lib/carrier,https://github.com/r-lib/carrier,https://github.com/r-lib/carrier/blob/master/NEWS.md
r-lib,filelock,https://github.com/r-lib/filelock#readme,https://github.com/r-lib/filelock,https://github.com/r-lib/filelock/blob/master/NEWS.md
r-lib,jose,"https://datatracker.ietf.org/wg/jose/documents/
https://www.w3.org/TR/WebCryptoAPI/#jose
https://github.com/r-lib/jose",https://github.com/r-lib/jose,https://github.com/r-lib/jose/blob/master/NEWS
r-lib,urlchecker,https://github.com/r-lib/urlchecker,https://github.com/r-lib/urlchecker,https://github.com/r-lib/urlchecker/blob/master/NEWS.md
r-lib,pingr,https://github.com/r-lib/pingr#readme,https://github.com/r-lib/pingr,https://github.com/r-lib/pingr/blob/master/NEWS.md
r-lib,xopen,https://github.com/r-lib/xopen#readme,https://github.com/r-lib/xopen,https://github.com/r-lib/xopen/blob/master/NEWS.md
r-lib,devoid,https://github.com/r-lib/devoid,https://github.com/r-lib/devoid,https://github.com/r-lib/devoid/blob/master/NEWS.md
lionel-,fontquiver,"NA",https://github.com/lionel-/fontquiver,https://github.com/lionel-/fontquiver/blob/master/NEWS.md
r-lib,cleancall,https://github.com/r-lib/cleancall#readme,https://github.com/r-lib/cleancall,https://github.com/r-lib/cleancall/blob/master/NEWS.md
r-lib,pkgcache,https://github.com/r-lib/pkgcache#readme,https://github.com/r-lib/pkgcache,https://github.com/r-lib/pkgcache/blob/master/NEWS.md
r-lib,gitcreds,https://github.com/r-lib/gitcreds,https://github.com/r-lib/gitcreds,https://github.com/r-lib/gitcreds/blob/master/NEWS.md
r-lib,whoami,https://github.com/r-lib/whoami#readme,https://github.com/r-lib/whoami,https://github.com/r-lib/whoami/blob/master/NEWS.md
r-lib,xmlparsedata,https://github.com/r-lib/xmlparsedata#readme,https://github.com/r-lib/xmlparsedata,https://github.com/r-lib/xmlparsedata/blob/master/NEWS.md
topepo,AmesHousing,https://github.com/topepo/AmesHousing,https://github.com/topepo/AmesHousing,https://github.com/topepo/AmesHousing/blob/master/NEWS.md
r-lib,conf,"NA",https://github.com/r-lib/conf,https://github.com/r-lib/conf/blob/master/NEWS.md
r-lib,textshaping,https://github.com/r-lib/textshaping,https://github.com/r-lib/textshaping,https://github.com/r-lib/textshaping/blob/master/NEWS.md
r-lib,tracer,https://github.com/mangothecat/tracer#readme,https://github.com/r-lib/tracer,https://github.com/r-lib/tracer/blob/master/NEWS.md
r-lib,showimage,https://github.com/r-lib/showimage#readme,https://github.com/r-lib/showimage,https://github.com/r-lib/showimage/blob/master/NEWS.md
r-lib,decor,https://github.com/r-lib/decor,https://github.com/r-lib/decor,https://github.com/r-lib/decor/blob/master/NEWS.md
r-lib,oskeyring,https://github.com/r-lib/oskeyring#readme,https://github.com/r-lib/oskeyring,https://github.com/r-lib/oskeyring/blob/master/NEWS.md
