owner,repo,watchers,downloads,revdep,revdep_hard,release,release_maj,release_1st,cran_urls
r-lib,ymlthis,136,641,3,3,98,636,636,"https://ymlthis.r-lib.org, https://github.com/r-lib/ymlthis"
r-lib,asciicast,129,274,1,0,564,564,564,NA
r-lib,rprojroot,129,304970,64,33,226,1273,1921,"https://rprojroot.r-lib.org/, https://github.com/r-lib/rprojroot"
r-lib,ellipsis,126,1440423,40,40,61,648,1033,"https://ellipsis.r-lib.org, https://github.com/r-lib/ellipsis"
r-lib,pillar,126,1374527,53,29,44,77,1317,"https://pillar.r-lib.org/, https://github.com/r-lib/pillar"
r-lib,available,123,718,1,1,711,1320,1320,https://github.com/ropenscilabs/available
tidyverse,hms,120,825052,47,33,43,43,1884,"https://hms.tidyverse.org/, https://github.com/tidyverse/hms"
r-lib,debugme,120,9388,10,3,1346,1346,1701,https://github.com/r-lib/debugme#readme
r-lib,rray,120,7,NA,NA,707,707,707,https://github.com/r-lib/rray
hadley,lazyeval,120,253598,91,85,837,1843,2463,NA
r-lib,later,118,319817,18,14,67,67,1465,https://github.com/r-lib/later
tidymodels,textrecipes,115,1801,NA,NA,229,229,925,"https://github.com/tidymodels/textrecipes,
https://textrecipes.tidymodels.org"
hadley,babynames,114,5585,4,2,78,899,2534,https://github.com/hadley/babynames
jennybc,repurrrsive,113,12338,5,0,715,715,1390,https://github.com/jennybc/repurrrsive
tidymodels,workflows,110,38737,18,10,111,287,547,"https://github.com/tidymodels/workflows,
https://workflows.tidymodels.org"
r-lib,prettyunits,108,408653,68,60,522,537,2451,https://github.com/gaborcsardi/prettyunits
r-lib,gert,106,245703,11,7,6,92,741,"https://docs.ropensci.org/gert/ (website),
https://github.com/r-lib/gert (devel), https://libgit2.org
(upstream)"
hadley,purrrlyr,103,2424,6,3,195,NA,1522,https://github.com/hadley/purrrlyr
tidymodels,themis,100,1840,NA,NA,17,533,533,"https://github.com/tidymodels/themis,
https://themis.tidymodels.org"
r-lib,desc,99,346764,47,38,116,116,1873,https://github.com/r-lib/desc#readme
tidymodels,embed,99,591,NA,NA,164,400,1019,"https://embed.tidymodels.org, https://github.com/tidymodels/embed"
r-lib,tidyselect,97,840169,211,199,60,413,1436,"https://tidyselect.r-lib.org, https://github.com/r-lib/tidyselect"
r-lib,fastmap,94,308835,6,5,155,155,702,"https://r-lib.github.io/fastmap/, https://github.com/r-lib/fastmap"
tidymodels,butcher,94,3859,4,3,1,690,690,https://butcher.tidymodels.org
tidymodels,tidyposterior,93,1581,NA,NA,96,96,1323,"https://tidyposterior.tidymodels.org,
https://github.com/tidymodels/tidyposterior"
r-dbi,RMariaDB,92,83634,14,5,77,173,1364,"https://rmariadb.r-dbi.org, https://github.com/r-dbi/RMariaDB,
https://downloads.mariadb.org/connector-c/"
